,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Sunday, November 12, 2023", Texas Tech, San Jose St.,22,21,56,42
0,"Sunday, November 12, 2023", Merrimack, Maine,29,28,71,65
0,"Sunday, November 12, 2023", Baylor, Gardner Webb,40,34,77,62
0,"Sunday, November 12, 2023", Grand Canyon, Northern Arizona,41,29,89,55
0,"Sunday, November 12, 2023", Indiana, Army,32,31,72,64
0,"Sunday, November 12, 2023", Weber St., Saint Mary's,37,26,61,57
0,"Sunday, November 12, 2023", Montana, UC Davis,42,32,78,65
0,"Sunday, November 12, 2023", Nevada, Washington,30,41,83,76
0,"Sunday, November 12, 2023", Rutgers, Bryant,29,25,66,57
0,"Sunday, November 12, 2023", Towson, Robert Morris,35,31,66,62
0,"Monday, November 13, 2023", Michigan, St. John's,38,48,89,73
0,"Monday, November 13, 2023", American, Siena,35,27,78,58
0,"Monday, November 13, 2023", Butler, East Tennessee St.,45,20,81,47
0,"Monday, November 13, 2023", Florida St., Central Michigan,50,30,94,67
0,"Monday, November 13, 2023", Miami FL, FIU,41,39,86,80
0,"Monday, November 13, 2023", Penn, Villanova,32,30,76,72
0,"Monday, November 13, 2023", Pittsburgh, Florida Gulf Coast,45,35,86,74
0,"Monday, November 13, 2023", South Carolina, VMI,41,33,74,64
0,"Monday, November 13, 2023", Arkansas Pine Bluff, Central Arkansas,43,39,85,83
0,"Monday, November 13, 2023", Stephen F. Austin, Northwestern St.,36,48,96,70
0,"Monday, November 13, 2023", Arizona, Southern,35,23,97,59
0,"Monday, November 13, 2023", Arkansas, Old Dominion,37,31,86,77
0,"Monday, November 13, 2023", Kansas St., South Dakota St.,38,29,91,68
0,"Monday, November 13, 2023", UTEP, UC Santa Barbara,44,44,89,76
0,"Monday, November 13, 2023", California, Cal St. Bakersfield,49,34,83,63
0,"Monday, November 13, 2023", Pepperdine, LIU,39,18,88,53
0,"Monday, November 13, 2023", Duquesne, Stony Brook,35,26,85,63
0,"Monday, November 13, 2023", Houston, Stetson,38,16,79,48
0,"Monday, November 13, 2023", Massachusetts, Quinnipiac,45,36,102,81
