,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Sunday, March 8, 2020", Minnesota, Nebraska,52,37,107,75
0,"Sunday, March 8, 2020", Connecticut, Tulane,41,39,80,76
0,"Sunday, March 8, 2020", Wichita St., Tulsa,34,26,79,57
0,"Sunday, March 8, 2020", Michigan St., Ohio St.,38,32,80,69
0,"Sunday, December 29, 2019", Colorado, Iona,35,19,99,54
0,"Friday, December 20, 2019", Fresno St., IUPUI,52,25,95,64
0,"Friday, November 22, 2019", Villanova, Mississippi St.,33,42,83,76
0,"Friday, November 22, 2019", Missouri St., Saint Joseph's,36,36,71,69
0,"Friday, November 22, 2019", Tulane, Middle Tennessee,42,25,86,74
0,"Friday, November 22, 2019", Baylor, Coastal Carolina,39,37,77,65
0,"Friday, November 22, 2019", Utah, Ohio,44,34,80,66
0,"Friday, November 22, 2019", Texas, California,21,25,62,45
0,"Friday, November 22, 2019", Duke, Georgetown,33,33,81,73
0,"Friday, November 22, 2019", Buffalo, Towson,34,34,76,73
0,"Saturday, November 23, 2019", Milwaukee, Morgan St.,28,27,62,57
0,"Saturday, November 23, 2019", Liberty, Rice,20,35,71,59
0,"Sunday, November 24, 2019", Nevada, Valparaiso,49,31,84,59
0,"Sunday, November 24, 2019", Mississippi St., Coastal Carolina,23,41,81,56
0,"Sunday, November 24, 2019", Ohio, Middle Tennessee,43,29,75,63
0,"Sunday, November 24, 2019", Tulane, Utah,31,32,65,61
0,"Saturday, November 23, 2019", UMKC, East Carolina,26,42,74,68
0,"Saturday, November 23, 2019", Western Kentucky, Illinois St.,36,37,83,69
0,"Sunday, November 24, 2019", Bowling Green, Cincinnati,29,41,91,84
0,"Saturday, November 23, 2019", Georgia St., Cal Baptist,40,32,69,60
0,"Saturday, November 23, 2019", Prairie View A&M, Central Arkansas,35,30,78,72
0,"Sunday, November 24, 2019", Florida, Xavier,29,39,70,65
0,"Sunday, November 24, 2019", Buffalo, Missouri St.,31,30,75,74
0,"Sunday, November 24, 2019", George Washington, Milwaukee,31,26,66,63
0,"Sunday, November 24, 2019", Virginia, Arizona St.,21,26,48,45
0,"Sunday, November 24, 2019", St. John's, Massachusetts,37,38,78,63
0,"Sunday, November 24, 2019", Columbia, Central Connecticut,26,48,82,52
0,"Sunday, November 24, 2019", Rider, Vermont,41,29,72,67
0,"Sunday, November 24, 2019", Rice, East Carolina,32,27,77,69
0,"Sunday, November 24, 2019", Liberty, UMKC,22,32,62,49
0,"Sunday, November 24, 2019", Towson, Saint Joseph's,35,26,76,64
0,"Monday, November 25, 2019", Cincinnati, Valparaiso,30,34,81,77
